detection_id,score,frame_id,est_fontsize,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_w,bbox_h,kisolation_w,kisolation_h
0,0.7969996,264,14,658,665,97,130,7,33,13.59259259259261,33
0,0.78996927,265,14,658,665,97,130,7,33,13.595588235294144,33
0,0.7911951,266,14,658,665,97,130,7,33,13.598540145985453,33
0,0.7903847,267,14,658,665,97,130,7,33,13.60144927536237,33
0,0.79247373,268,14,658,665,97,130,7,33,13.604316546762561,33
0,0.7736962,269,13,658,665,98,130,7,32,13.600000000000023,32
0,0.6960213,270,13,658,665,98,130,7,32,13.595744680851112,32
0,0.7054112,271,13,658,665,98,130,7,32,13.591549295774598,32
0,0.6974817,272,13,658,665,98,130,7,32,13.587412587412587,32
0,0.67615026,273,13,658,665,98,129,7,31,13.583333333333371,31
0,0.66930807,274,13,658,665,98,129,7,31,13.579310344827604,31
0,0.6788036,275,13,658,665,98,129,7,31,13.575342465753465,31
0,0.6702593,276,13,658,665,98,129,7,31,13.571428571428555,31
0,0.6673778,277,13,658,665,98,129,7,31,13.567567567567608,31
0,0.66182554,278,13,658,665,98,129,7,31,13.563758389261693,31
0,0.66435415,279,13,658,665,98,129,7,31,13.559999999999945,31
0,0.66690445,280,13,658,665,98,129,7,31,13.556291390728461,31
0,0.66027427,281,13,658,665,98,129,7,31,13.552631578947398,31
0,0.66716504,282,13,658,665,98,129,7,31,13.549019607843093,31
0,0.66692156,283,13,658,664,98,129,6,31,13.545454545454504,31
0,0.6762957,284,13,658,665,98,129,7,31,13.54193548387093,31
0,0.6702454,285,13,658,665,98,129,7,31,13.538461538461547,31
0,0.6689646,286,13,658,665,98,129,7,31,13.535031847133723,31
0,0.67011833,287,13,658,665,98,129,7,31,13.531645569620196,31
0,0.6579147,288,13,658,665,98,129,7,31,13.528301886792406,31
0,0.6541923,289,13,658,665,98,129,7,31,13.524999999999977,31
0,0.65636563,290,13,658,665,98,129,7,31,13.521739130434753,31
0,0.6546612,291,13,658,665,98,129,7,31,13.518518518518476,31
0,0.656693,292,13,658,665,98,129,7,31,13.515337423312872,31
0,0.65712184,293,13,658,665,98,129,7,31,13.512195121951208,31
0,0.67598987,294,13,658,665,98,129,7,31,13.5090909090909,31
0,0.6565108,295,13,658,665,98,129,7,31,13.506024096385545,31
0,0.65706843,296,13,658,665,98,129,7,31,13.502994011976057,31
0,0.65660685,297,13,658,665,98,129,7,31,13.5,31
0,0.6565505,298,13,658,665,98,129,7,31,13.497041420118308,31
0,0.6698974,299,13,658,665,98,129,7,31,13.494117647058829,31
0,0.65808624,300,13,658,665,98,129,7,31,13.491228070175453,31
0,0.6566018,301,13,658,665,98,129,7,31,13.488372093023258,31
0,0.65651935,302,13,658,665,98,129,7,31,13.485549132947995,31
0,0.65460634,303,13,658,665,98,129,7,31,13.482758620689651,31
0,0.65691864,304,13,658,665,98,129,7,31,13.480000000000018,31
0,0.65720564,305,13,658,665,98,129,7,31,13.477272727272748,31
0,0.6759924,306,13,658,665,98,129,7,31,13.474576271186493,31
0,0.65645754,307,13,658,665,98,129,7,31,13.471910112359524,31
0,0.65691864,308,13,658,665,98,129,7,31,13.469273743016743,31
0,0.65650564,309,13,658,665,98,129,7,31,13.466666666666697,31
0,0.6563379,310,13,658,665,98,129,7,31,13.464088397790078,31
0,0.66984093,311,13,658,665,98,129,7,31,13.461538461538453,31
0,0.6579167,312,13,658,665,98,129,7,31,13.459016393442653,31
0,0.65650564,313,13,658,665,98,129,7,31,13.45652173913038,31
0,0.6563379,314,13,658,665,98,129,7,31,13.45405405405404,31
0,0.65460634,315,13,658,665,98,129,7,31,13.45161290322585,31
0,0.65691864,316,13,658,665,98,129,7,31,13.449197860962613,31
